Years_Affected,Potential_Issue
1971,incomplete survey
1978,boat survey (different method from all other years)
1986,aerial survey (different method from all other years)
1991,"missing data, unknown if survey was completed"
1984 to 1994 ,unable to find source data
2000,Flood conditions caused early termination of program
