Years_Affected,Potential_Issue
2002-2003,original estimates  based on different methods which prevented reanalysis using the 2014 baseline
2004,Alternative estimate available (NOT CURRRENTLY USED?)
2005-2006,original estimates  based on different methods which prevented reanalysis using the 2014 baseline (INCLUDE A BIT MORE DETAIL RE: SPECIFIC ISSUE)
2010,Large uncertainty on stock comp due to sonar issue and test fish mesh size changes (GET DETAILS FROM HH)
