Years_Affected,Potential_Issue
All,"Lack of yearly target testing/bathymetry, so unknown whether  fish may pass in the middle of the river where it is not ensonified (couldn’t be confirmed through test fishery due to river characteristics)."
2016,"In the first year, the sonars were removed from the water very early (August 3) thus missing a significant later portion of the Chinook run. A post-season expansion formula was used to extrapolate the counts for 21 days (a relatively long time)."
2017,30m of river not ensonified
"2018, 2019",50m of river not ensonified 
