Years,Component,Change_Event
2004,Trial,Holding / recovery area upstream of weir was not successful. Counting chamber operational
2007+,Weir Design,New weir tripods were installed which increased angle of weir panels
2015+,Weir Design,"Specific gate was built, rather than removing a few pieces of individual conduit to allow fish to pass"
