# Annual estimates of Total Canadian Harvest By Area,,,,,,,,,,
# Type = CA_Mainstem or CA_Porcupine,,,,,,,,,,
# All data from Table B7 of the JTC Annual  Report; as provided in CDN_Harvest_JTC_B7.csv,,,,,,,,,,
Type,Year,Estimate,SE,p10,p90,Variance,CV,Other,Use,UseNotes
CA_Mainstem,1961,12746,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1962,13337,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1963,10033,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1964,7332,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1965,5286,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1966,4387,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1967,5107,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1968,5012,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1969,2597,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1970,4655,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1971,6438,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1972,5729,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1973,4518,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1974,5556,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1975,5900,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1976,5000,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1977,7498,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1978,5881,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1979,10375,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1980,20846,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1981,18009,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1982,16808,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1983,18752,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1984,16295,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1985,19151,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1986,20064,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1987,17563,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1988,21327,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1989,17419,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1990,18980,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1991,20444,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1992,17803,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1993,16469,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1994,20770,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1995,20088,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1996,19546,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1997,15717,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1998,5838,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,1999,12354,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2000,4829,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2001,9774,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2002,9070,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2003,9446,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2004,10946,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2005,10977,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2006,8758,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2007,4794,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2008,3399,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2009,4297,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2010,2456,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2011,4594,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2012,2000,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2013,1904,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2014,100,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2015,1000,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2016,2769,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2017,3500,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2018,2790,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2019,2764,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2020,2363,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2021,306,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Mainstem,2022,45,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1961,500,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1962,600,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1963,44,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1964,76,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1965,94,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1966,65,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1967,43,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1968,30,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1969,27,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1970,8,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1971,9,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1972, ,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1973,4,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1974,75,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1975,100,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1976,25,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1977,29,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1978, ,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1979, ,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1980,2000,NA,NA,NA,NA,NA,NA,TRUE,TBI
CA_Porcupine,1981,100,NA,NA,NA,NA,NA,NA,TRUE,TBI
